stato,inizio,fine,sindacati,settore,categoria,modalita,rilevanza,note,data_proclamazione,regione,provincia,data_ricezione,inizio_iso,fine_iso
Effettuato,17/12/2023,17/12/2023,ADL VARESE,Aereo,PERSONALE SOC. AIRPORT HANDLING AEROPORTI DI MILANO LINATE E MALPENSA,4 ORE: DALLE 13.00 ALLE 17.00,Nazionale,null,29/11/2023,Italia,Tutte,29/11/2023 13:12,2023-12-17,2023-12-17
Effettuato,17/12/2023,17/12/2023,ADL VARESE,Aereo,PERSONALE SOC. AGS HANDLING AEROPORTO DI MILANO  MALPENSA,4 ORE: DALLE 13.00 ALLE 17.00,Nazionale,null,29/11/2023,Italia,Tutte,29/11/2023 13:12,2023-12-17,2023-12-17
Effettuato,17/12/2023,17/12/2023,ADL VARESE,Aereo,PERSONALE SOC. ALHA AEROPORTO DI MILANO  MALPENSA,4 ORE: DALLE 13.00 ALLE 17.00,Nazionale,null,29/11/2023,Italia,Tutte,29/11/2023 13:12,2023-12-17,2023-12-17
Effettuato,17/12/2023,17/12/2023,ADL VARESE,Aereo,PERSONALE SOC. MLE-BCUBE AEROPORTI DI MILANO LINATE E MALPENSA,4 ORE: DALLE 13.00 ALLE 17.00,Nazionale,null,29/11/2023,Italia,Tutte,29/11/2023 13:12,2023-12-17,2023-12-17
Effettuato,17/12/2023,17/12/2023,ADL VARESE,Aereo,PERSONALE SOC. SWISSPORT ITALIA AEROPORTO DI MILANO LINATE,4 ORE: DALLE 13.00 ALLE 17.00,Nazionale,null,29/11/2023,Italia,Tutte,29/11/2023 13:16,2023-12-17,2023-12-17
Effettuato,17/12/2023,17/12/2023,ADL VARESE,Aereo,PERSONALE SOC. AVIAPARTNER HANDLING AEROPORTI DI MILANO LINATE E MALPENSA,4 ORE: DALLE 13.00 ALLE 17.00,Nazionale,null,04/12/2023,Italia,Tutte,04/12/2023 22:10,2023-12-17,2023-12-17
Effettuato,17/12/2023,17/12/2023,FLAI TRASPORTI E SERVIZI,Aereo,PERSONALE SOC. ALHA AEROPORTO DI MILANO MALPENSA,4 ORE: DALLE 13.00 ALLE 17.00,Nazionale,null,28/11/2023,Italia,Tutte,28/11/2023 15:16,2023-12-17,2023-12-17
Effettuato,17/12/2023,17/12/2023,FLAI TRASPORTI E SERVIZI,Aereo,PERSONALE SOC. AIRPORT HANDLING AEROPORTI DI MILANO LINATE E MALPENSA,4 ORE: DALLE 13.00 ALLE 17.00,Nazionale,null,28/11/2023,Italia,Tutte,28/11/2023 15:17,2023-12-17,2023-12-17
Effettuato,17/12/2023,17/12/2023,FLAI TRASPORTI E SERVIZI,Aereo,PERSONALE SOC. MLE AEROPORTI DI MILANO LINATE E MALPENSA,4 ORE: DALLE 13.00 ALLE 17.00,Nazionale,null,28/11/2023,Italia,Tutte,28/11/2023 15:18,2023-12-17,2023-12-17
Effettuato,17/12/2023,17/12/2023,FLAI TRASPORTI E SERVIZI,Aereo,PERSONALE SOC. SWISSPORT ITALIA AEROPORTO DI MILANO LINATE,4 ORE: DALLE 13.00 ALLE 17.00,Nazionale,null,28/11/2023,Italia,Tutte,28/11/2023 15:20,2023-12-17,2023-12-17
Effettuato,17/12/2023,17/12/2023,FLAI TRASPORTI E SERVIZI,Aereo,PERSONALE SOC. AGS HANDLING AEROPORTO DI MILANO MALPENSA,4 ORE: DALLE 13.00 ALLE 17.00,Nazionale,null,28/11/2023,Italia,Tutte,28/11/2023 15:21,2023-12-17,2023-12-17
Effettuato,17/12/2023,17/12/2023,FLAI TRASPORTI E SERVIZI,Aereo,PERSONALE SOC. AVIAPARTNER HANDLING AEROPORTI DI MILANO LINATE E MALPENSA,4 ORE: DALLE 13.00 ALLE 17.00,Nazionale,null,04/12/2023,Italia,Tutte,05/12/2023 09:04,2023-12-17,2023-12-17
Effettuato,17/12/2023,17/12/2023,OSR USB LAVORO PRIVATO,Aereo,PERSONALE SOC. AGS HANDLING AEROPORTO DI MILANO MALPENSA,4 ORE: DALLE 13.00 ALLE 17.00,Nazionale,null,28/11/2023,Italia,Tutte,28/11/2023 15:14,2023-12-17,2023-12-17
