stato,inizio,fine,sindacati,settore,categoria,modalita,rilevanza,note,data_proclamazione,regione,provincia,data_ricezione,inizio_iso,fine_iso
"Revocato (include le azioni di revoca, sospensione e differimento)",23/12/2024,23/12/2024,OSR CONFAIL,Marittimo,PERSONALE SOC. GAMBA ADDETTO AL SERVIZIO PULIZIA SU NAVI E UFFICI DELLA SOC. CAREMAR DI NAPOLI,DURATA E MODALITA' NON COMUNICATE,Locale,null,12/12/2024,Campania,Napoli,17/12/2024 10:33,2024-12-23,2024-12-23
"Revocato (include le azioni di revoca, sospensione e differimento)",15/12/2024,15/12/2024,FILT-CGIL-UILT-UIL,Aereo,PERSONALE SOC. ENAV ACC MILANO,4 ORE: DALLE 13.00 ALLE 17.00,Nazionale,null,14/11/2024,Italia,Tutte,14/11/2024 11:24,2024-12-15,2024-12-15
"Revocato (include le azioni di revoca, sospensione e differimento)",15/12/2024,15/12/2024,FILT-CGIL/UILT-UIL,Aereo,PERSONALE SOC. TECHNO SKY,24 ORE: DALLE 00.01 ALLE 23.59,Nazionale,null,17/10/2024,Italia,Tutte,17/10/2024 10:21,2024-12-15,2024-12-15
"Revocato (include le azioni di revoca, sospensione e differimento)",15/12/2024,15/12/2024,FILT-CGIL/UILT-UIL,Aereo,PERSONALE SOC. ENAV AEROPORTO DI PARMA,4 ORE: DALLE 13.00 ALLE 17.00,Locale,null,14/11/2024,Emilia-Romagna,Parma,14/11/2024 12:55,2024-12-15,2024-12-15
"Revocato (include le azioni di revoca, sospensione e differimento)",15/12/2024,15/12/2024,FILT-CGIL/UILT-UIL,Aereo,PERSONALE SOC. ENAV AEROPORTO DI MILANO LINATE,4 ORE: DALLE 13.00 ALLE 17.00,Nazionale,null,14/11/2024,Italia,Tutte,14/11/2024 14:17,2024-12-15,2024-12-15
"Revocato (include le azioni di revoca, sospensione e differimento)",15/12/2024,15/12/2024,FILT-CGIL/UILT-UIL,Aereo,PERSONALE SOC. ENAV AEROPORTO DI BERGAMO,4 ORE: DALLE 13.00 ALLE 17.00,Interregionale,null,14/11/2024,Italia,Tutte,14/11/2024 14:26,2024-12-15,2024-12-15
"Revocato (include le azioni di revoca, sospensione e differimento)",15/12/2024,15/12/2024,FILT-CGIL/UILT-UIL,Aereo,PERSONALE SOC. ENAV AEROPORTO DI MILANO MALPENSA,4 ORE: DALLE 13.00 ALLE 17.00,Nazionale,null,14/11/2024,Italia,Tutte,14/11/2024 14:31,2024-12-15,2024-12-15
"Revocato (include le azioni di revoca, sospensione e differimento)",15/12/2024,15/12/2024,FILT-CGIL/UILT-UIL/RSU,Aereo,PERSONALE SOC. TECHNO SKY COMPRENSORIO DI BARI-BRINDISI,24 ORE: DALLE 00.01 ALLE 23.59,Nazionale,ASTENSIONE LAVORO STRAORDINARIO E REPERIBILITA' DALLE 00.01 DEL 01/12 ALLE 23.59 DEL 15/12,21/10/2024,Italia,Tutte,21/10/2024 11:32,2024-12-15,2024-12-15
Effettuato,15/12/2024,15/12/2024,FLAI TRASPORTI E SERVIZI,Aereo,PERSONALE AZIENDE HANDLING ASSOCIATE ASSOHANDLERS OPERANTI NEI SEDIMI AEROPORTUALI ITALIANI,4 ORE: DALLE 13.00 ALLE 17.00,Nazionale,null,20/11/2024,Italia,Tutte,20/11/2024 10:02,2024-12-15,2024-12-15
"Revocato (include le azioni di revoca, sospensione e differimento)",15/12/2024,15/12/2024,OSP CUB TRASPORTI,Aereo,PERSONALE SOC. AGS HANDLING AEROPORTO DI BERGAMO ORIO AL SERIO,4 ORE: DALLE 13.00 ALLE 17.00,Interregionale,null,02/12/2024,Italia,Tutte,03/12/2024 10:07,2024-12-15,2024-12-15
"Revocato (include le azioni di revoca, sospensione e differimento)",15/12/2024,15/12/2024,OSP CUB TRASPORTI,Aereo,PERSONALE SOC. BGY INTERNATIONAL SERVICES AEROPORTO DI BERGAMO ORIO AL SERIO,4 ORE: DALLE 13.00 ALLE 17.00,Interregionale,null,02/12/2024,Italia,Tutte,03/12/2024 10:08,2024-12-15,2024-12-15
